Company,TypeName,Inches,Ram,OpSys,Weight,Price,PPI,Touchscreen,Cpu_Series,SSD_Capacity_GB,Has_HDD,Dedicated_GPU,OS_Group
Dell,Notebook,15.6,4,Windows 10,2.3,34045,141.21199808219862,0,Core i5,256,0,1,Windows
Asus,Notebook,17.3,4,Windows 10,2.8,24828,90.58340172449303,0,Pentium,0,1,0,Windows
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,16996,224.17380907857276,1,Other,0,0,0,Others
Acer,Notebook,15.6,8,Windows 10,2.2,44808,141.21199808219862,0,Core i7,256,0,0,Windows
HP,Notebook,15.6,4,Windows 10,1.86,21231,141.21199808219862,0,Other,256,0,1,Windows
HP,Notebook,13.3,8,Windows 10,1.49,58767,165.6321180513006,0,Core i7,512,0,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.4,20459,100.45466986113651,0,Core i3,0,1,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.13,40908,141.21199808219862,0,Core i7,256,0,1,Windows
HP,Notebook,15.6,4,Windows 10,1.91,23389,141.21199808219862,0,Core i3,128,0,0,Windows
Asus,Notebook,15.6,4,Windows 10,2.0,31232,100.45466986113651,0,Core i5,256,0,0,Windows
MSI,Gaming,17.3,16,Windows 10,2.43,130482,127.33567457123111,0,Core i7,256,1,0,Windows
Asus,Notebook,15.6,4,Linux,2.0,22111,141.21199808219862,0,Core i3,256,0,0,Linux-Based
Dell,Notebook,17.3,16,Windows 10,2.8,69210,127.33567457123111,0,Core i7,256,1,1,Windows
Dell,Ultrabook,14.0,8,Windows 10,1.7,46833,157.3505121487356,0,Core i5,256,0,0,Windows
Lenovo,Notebook,14.0,8,No OS,1.7,31914,157.3505121487356,0,Core i3,256,0,0,Others
Asus,Notebook,14.0,8,Windows 10,1.4,50136,157.3505121487356,0,Core i5,256,0,0,Windows
HP,Notebook,15.6,8,Windows 10,1.86,36763,141.21199808219862,0,Core i5,256,0,0,Windows
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654,141.21199808219862,0,Core i7,512,0,0,Windows
HP,Notebook,15.6,4,Windows 10,1.86,23373,100.45466986113651,0,Core i3,0,1,1,Windows
HP,Notebook,14.0,4,Windows 10,1.44,12201,111.93520355955211,0,Celeron,32,0,0,Windows
Lenovo,Notebook,15.6,4,Windows 10,1.9,29250,141.21199808219862,0,Core i5,0,1,0,Windows
Asus,Gaming,17.3,12,Linux,3.0,50562,127.33567457123111,0,Core i7,0,1,0,Linux-Based
Others,Ultrabook,13.5,4,Windows 10 S,1.252,58021,200.84255993695703,1,Core i5,128,0,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.4,50882,165.6321180513006,0,Core i7,256,0,1,Windows
Dell,Notebook,15.6,8,Windows 10,2.2,46353,141.21199808219862,0,Core i7,256,0,1,Windows
MSI,Gaming,17.3,8,Windows 10,2.7,58341,127.33567457123111,0,Core i5,128,1,0,Windows
Acer,Notebook,14.0,8,Windows 10,2.1,20725,111.93520355955211,0,Core i3,0,1,0,Windows
Asus,Gaming,15.6,8,Windows 10,2.2,50562,141.21199808219862,0,Core i7,0,1,0,Windows
Lenovo,Notebook,15.6,8,No OS,2.2,27652,141.21199808219862,0,Core i5,0,1,0,Others
Dell,Notebook,15.6,8,Windows 10,2.02,45554,141.21199808219862,0,Core i7,128,1,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.2,28238,141.21199808219862,0,Core i3,0,1,0,Windows
HP,Notebook,17.3,8,Windows 10,2.5,52054,127.33567457123111,0,Core i5,128,1,0,Windows
Dell,Ultrabook,15.6,8,Windows 10,1.88,58403,141.21199808219862,0,Core i5,256,0,0,Windows
Apple,Ultrabook,12.0,8,macOS,0.92,80452,226.41554716935852,0,Core i5,512,0,0,Others
HP,Notebook,14.0,8,Windows 10,1.63,45820,157.3505121487356,0,Core i5,256,0,0,Windows
Lenovo,Notebook,15.6,4,Windows 10,2.2,21258,141.21199808219862,0,Other,128,0,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,21045,100.45466986113651,0,Other,0,1,1,Windows
Dell,Gaming,15.6,16,Windows 10,2.65,71874,141.21199808219862,0,Core i7,128,1,0,Windows
HP,Ultrabook,15.6,8,Windows 10,1.83,37242,141.21199808219862,0,Core i7,256,0,0,Windows
HP,Notebook,15.6,8,Windows 10,1.96,31914,141.21199808219862,0,Core i5,256,0,0,Windows
Asus,Gaming,15.6,16,Windows 10,2.2,77202,141.21199808219862,0,Core i7,128,1,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.21,87858,165.6321180513006,0,Core i7,256,0,0,Windows
Asus,Gaming,15.6,8,Windows 10,2.45,37242,141.21199808219862,0,Other,0,1,1,Windows
Acer,Notebook,15.6,8,Windows 10,2.2,36709,141.21199808219862,0,Core i7,0,1,0,Windows
HP,Notebook,13.3,16,Windows 10,1.49,63776,165.6321180513006,0,Core i7,512,0,0,Windows
Dell,Gaming,15.6,8,Windows 10,2.65,63669,141.21199808219862,0,Core i5,256,0,0,Windows
Asus,Ultrabook,14.0,8,Windows 10,1.25,55890,157.3505121487356,0,Core i7,256,0,0,Windows
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128,165.6321180513006,1,Core i5,256,0,0,Windows
Dell,Notebook,15.6,8,Linux,2.2,31962,141.21199808219862,0,Core i7,0,1,1,Linux-Based
Dell,Notebook,15.6,4,Linux,2.2,25840,141.21199808219862,0,Core i3,256,0,1,Linux-Based
Asus,Notebook,15.6,6,Windows 10,2.0,30742,141.21199808219862,0,Core i3,256,0,0,Windows
HP,Gaming,15.6,12,Windows 10,2.62,66546,141.21199808219862,0,Core i7,128,1,0,Windows
HP,Notebook,15.6,8,Windows 10,1.91,38308,141.21199808219862,0,Core i7,256,0,1,Windows
HP,Notebook,15.6,4,Windows 10,2.1,18594,141.21199808219862,0,Other,0,1,1,Windows
Dell,Notebook,15.6,8,Linux,2.2,34472,141.21199808219862,0,Core i5,0,1,1,Linux-Based
HP,Ultrabook,13.3,8,Windows 10,1.38,59620,165.6321180513006,0,Core i7,256,0,0,Windows
Others,Ultrabook,13.5,8,Windows 10 S,1.252,71395,200.84255993695703,1,Core i5,256,0,0,Windows
HP,Notebook,14.0,6,Windows 10,1.58,35111,157.3505121487356,0,Core i5,256,0,0,Windows
Lenovo,Notebook,15.6,4,Windows 10,1.85,22105,141.21199808219862,0,Core i3,0,1,0,Windows
Asus,Ultrabook,14.0,8,Windows 10,1.3,63563,157.3505121487356,0,Core i7,256,0,0,Windows
MSI,Gaming,15.6,16,Windows 10,2.2,69210,141.21199808219862,0,Core i7,256,1,0,Windows
Lenovo,Notebook,14.0,8,Windows 10,1.58,78854,157.3505121487356,0,Core i7,256,0,0,Windows
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239,141.21199808219862,0,Core i7,256,1,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473,276.053530085501,1,Core i7,256,0,0,Windows
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538,165.6321180513006,1,Core i5,256,0,0,Windows
HP,Notebook,14.0,4,Windows 10,1.63,38468,111.93520355955211,0,Core i5,0,1,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.21,86793,165.6321180513006,0,Core i5,256,0,0,Windows
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,74538,165.6321180513006,1,Core i5,256,0,0,Windows
HP,Notebook,14.0,8,Windows 10,1.63,57755,157.3505121487356,0,Core i7,512,0,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.16,60223,141.21199808219862,0,Core i7,256,1,0,Windows
Asus,Notebook,17.3,4,Windows 10,2.0,30049,127.33567457123111,0,Core i3,0,1,0,Windows
Asus,Notebook,15.6,8,Windows 10,1.7,59567,141.21199808219862,0,Core i7,256,0,0,Windows
Acer,Notebook,15.6,6,Windows 10,2.1,25521,141.21199808219862,1,Core i3,0,1,0,Windows
MSI,Gaming,15.6,16,Windows 10,1.8,119427,141.21199808219862,0,Core i7,256,1,0,Windows
Lenovo,Notebook,15.6,8,No OS,2.2,33513,141.21199808219862,0,Core i5,256,0,0,Others
HP,Notebook,17.3,16,Windows 10,2.5,67718,127.33567457123111,0,Core i7,512,0,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,24029,100.45466986113651,0,Other,256,0,1,Windows
HP,Notebook,15.6,4,No OS,1.86,13799,100.45466986113651,0,Celeron,0,1,0,Others
HP,Notebook,14.0,8,Windows 10,1.63,43263,157.3505121487356,0,Core i5,0,1,0,Windows
Asus,Notebook,14.0,4,Windows 10 S,1.65,14811,111.93520355955211,0,Other,64,0,1,Windows
Dell,Notebook,17.3,16,Windows 10,2.8,74378,127.33567457123111,0,Core i7,256,1,1,Windows
HP,Notebook,17.3,8,Windows 10,2.5,49443,127.33567457123111,0,Core i5,256,0,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.36,34045,100.45466986113651,0,Core i5,0,1,1,Windows
Dell,Notebook,15.6,4,Windows 10,2.2,23922,141.21199808219862,0,Core i3,0,1,1,Windows
Acer,Ultrabook,14.0,8,Windows 10,1.6,47099,157.3505121487356,0,Core i7,256,0,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.2,30476,141.21199808219862,0,Core i3,256,0,0,Windows
HP,Notebook,15.6,8,Windows 10,2.05,31861,100.45466986113651,0,Core i7,0,1,0,Windows
HP,Notebook,14.0,8,Windows 10,1.63,52640,157.3505121487356,0,Core i7,256,0,0,Windows
Lenovo,Notebook,15.6,4,No OS,1.9,13445,100.45466986113651,0,Celeron,0,1,0,Others
Asus,Gaming,17.3,8,Windows 10,3.0,49976,127.33567457123111,0,Core i5,128,1,0,Windows
Lenovo,Notebook,15.6,4,No OS,2.2,26586,141.21199808219862,0,Core i5,0,1,0,Others
HP,Notebook,13.3,4,Windows 10,1.32,37242,165.6321180513006,0,Core i5,256,0,0,Windows
Acer,Notebook,17.3,4,Windows 10,3.0,34898,127.33567457123111,0,Core i3,0,1,0,Windows
Lenovo,Notebook,14.0,8,Windows 10,1.75,59461,157.3505121487356,0,Core i5,256,0,1,Windows
Lenovo,Gaming,15.6,8,No OS,2.4,46300,141.21199808219862,0,Core i7,256,0,0,Others
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074,100.45466986113651,0,Core i5,0,1,0,Windows
HP,Notebook,15.6,4,Windows 10,1.86,19660,100.45466986113651,0,Other,256,0,1,Windows
Asus,Ultrabook,14.0,8,Windows 10,1.25,58554,157.3505121487356,0,Core i7,256,0,0,Windows
HP,Ultrabook,12.5,8,Windows 10,0.97,107305,352.4651472131677,1,Other,512,0,0,Windows
Asus,Notebook,15.6,4,Windows 10,2.0,18328,141.21199808219862,0,Celeron,0,1,0,Windows
MSI,Gaming,17.3,16,Windows 10,2.9,108105,127.33567457123111,0,Core i7,256,1,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,23816,100.45466986113651,0,Core i3,0,1,0,Windows
Dell,Gaming,15.6,16,Windows 10,2.56,66560,141.21199808219862,0,Core i7,512,0,0,Windows
Dell,Gaming,15.6,8,Windows 10,2.62,47898,141.21199808219862,0,Core i7,0,0,0,Windows
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533,100.45466986113651,0,Core i5,128,0,0,Windows
MSI,Gaming,17.3,16,Windows 10,2.8,100699,127.33567457123111,0,Core i7,256,1,0,Windows
HP,Ultrabook,14.0,4,Windows 10,1.48,57648,157.3505121487356,0,Core i5,256,0,0,Windows
HP,Notebook,15.6,6,Windows 10,1.91,32980,141.21199808219862,0,Core i5,256,0,1,Windows
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,33513,157.3505121487356,1,Core i3,256,0,0,Windows
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,70063,165.6321180513006,1,Core i5,256,0,0,Windows
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,55890,141.21199808219862,1,Core i7,256,0,0,Windows
Toshiba,Notebook,15.6,4,Windows 10,2.1,23816,100.45466986113651,0,Core i3,0,1,0,Windows
Asus,Notebook,15.6,4,Windows 10,2.03,21471,100.45466986113651,0,Other,0,1,1,Windows
Acer,Notebook,17.3,4,Windows 10,3.0,42890,127.33567457123111,0,Core i5,256,0,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.13,38787,141.21199808219862,0,Core i5,256,0,1,Windows
Lenovo,Gaming,15.6,16,Windows 10,2.5,57489,141.21199808219862,0,Core i7,256,0,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,18541,100.45466986113651,0,Celeron,0,1,0,Windows
MSI,Gaming,15.6,16,Windows 10,2.4,95850,141.21199808219862,0,Core i7,256,1,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,19367,100.45466986113651,0,Pentium,0,1,0,Windows
Dell,Gaming,15.6,8,Windows 10,2.56,56502,141.21199808219862,0,Core i7,128,1,0,Windows
Acer,Notebook,17.3,8,Windows 10,3.0,45501,127.33567457123111,0,Core i5,256,0,0,Windows
HP,Notebook,13.3,4,Windows 10,1.49,40173,165.6321180513006,0,Core i5,0,1,0,Windows
Others,Ultrabook,13.0,8,Windows 10,1.05,71874,199.69207064108247,0,Core i5,256,0,0,Windows
HP,Notebook,17.3,6,Windows 10,2.71,37242,127.33567457123111,0,Core i5,0,1,1,Windows
Lenovo,Notebook,15.6,4,No OS,2.2,16463,100.45466986113651,0,Other,0,1,1,Others
Toshiba,Notebook,15.6,4,Windows 10,2.0,26053,100.45466986113651,0,Core i3,0,1,0,Windows
HP,Notebook,17.3,8,Windows 10,2.5,49177,127.33567457123111,0,Core i5,256,0,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.3,24455,100.45466986113651,0,Core i3,0,1,0,Windows
Acer,Notebook,15.6,4,Windows 10,2.1,23922,100.45466986113651,0,Core i3,128,0,0,Windows
MSI,Gaming,18.4,32,Windows 10,4.4,149130,119.7232157653423,0,Core i7,512,1,0,Windows
Lenovo,Notebook,15.6,8,Windows 10,1.9,43316,141.21199808219862,0,Core i5,128,1,0,Windows
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,79866,331.2642361026012,1,Core i5,256,0,0,Windows
Dell,Notebook,15.6,16,Linux,2.02,55890,141.21199808219862,0,Core i7,256,1,1,Linux-Based
Dell,Ultrabook,13.3,8,Windows 10,1.23,74538,165.6321180513006,0,Core i5,256,0,0,Windows
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98514,316.96506044349616,1,Core i7,512,0,0,Windows
Toshiba,Notebook,15.6,8,Windows 10,2.0,42251,100.45466986113651,0,Core i5,128,0,0,Windows
Others,Notebook,15.6,8,No OS,1.95,63882,141.21199808219862,0,Core i5,256,0,0,Others
Dell,Notebook,17.3,16,Windows 10,2.77,82530,127.33567457123111,1,Core i7,512,0,0,Windows
Dell,Notebook,15.6,16,Windows 10,2.06,127712,282.42399616439724,1,Core i7,512,0,0,Windows
Lenovo,Gaming,15.6,8,No OS,2.4,41505,141.21199808219862,0,Core i5,256,0,0,Others
Acer,Ultrabook,13.3,8,Windows 10,1.12,52693,165.6321180513006,0,Core i5,256,0,0,Windows
Dell,Notebook,17.3,8,Windows 10,2.8,57808,127.33567457123111,0,Core i7,128,1,1,Windows
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,150462,209.8006828649808,1,Core i7,1024,0,0,Windows
Others,Notebook,14.0,4,Windows 10,1.3,13852,157.3505121487356,0,Celeron,0,0,0,Windows
Others,Ultrabook,13.3,8,No OS,1.3,53274,165.6321180513006,0,Core i5,256,0,0,Others
Lenovo,Notebook,17.3,8,No OS,2.8,37189,106.11306214269258,0,Core i5,256,0,0,Others
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,44701,165.6321180513006,1,Core i7,0,1,0,Windows
HP,Notebook,17.3,8,Windows 10,2.5,48697,127.33567457123111,0,Core i5,0,1,0,Windows
Others,Gaming,17.3,32,Windows 10,3.49,324954,254.67134914246222,1,Core i7,1024,0,0,Windows
HP,Notebook,13.3,8,Windows 10,1.49,51095,165.6321180513006,0,Core i5,512,0,0,Windows
HP,Gaming,17.3,16,Windows 10,3.35,73473,127.33567457123111,0,Core i7,256,1,0,Windows
HP,Notebook,17.3,8,Windows 10,2.5,55677,127.33567457123111,0,Core i7,256,0,0,Windows
Dell,Gaming,15.6,16,Windows 10,2.65,98301,282.42399616439724,0,Core i7,512,1,0,Windows
Lenovo,Notebook,15.6,4,Windows 10,2.1,26267,100.45466986113651,0,Core i5,128,0,0,Windows
Acer,Notebook,15.6,8,Windows 10,2.23,39533,141.21199808219862,0,Core i7,0,1,0,Windows
Lenovo,Gaming,15.6,16,Windows 10,3.2,93186,141.21199808219862,0,Core i7,512,1,0,Windows
Dell,Workstation,15.6,16,Windows 10,2.8,162770,282.42399616439724,0,Xeon,256,1,0,Windows
Lenovo,Gaming,15.6,16,No OS,2.4,74485,141.21199808219862,0,Core i7,512,0,0,Others
Dell,Notebook,15.6,6,Windows 10,2.3,23389,100.45466986113651,1,Core i3,0,1,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.21,103842,331.2642361026012,1,Core i7,256,0,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.2,77202,165.6321180513006,0,Core i7,256,0,0,Windows
Lenovo,Notebook,15.6,8,Windows 10,2.2,31808,100.45466986113651,0,Core i5,256,0,0,Windows
Acer,Notebook,15.6,8,Linux,2.4,41505,141.21199808219862,0,Core i7,0,1,0,Linux-Based
Asus,Gaming,17.3,16,Windows 10,2.9,74964,127.33567457123111,0,Core i7,256,1,0,Windows
HP,Notebook,15.6,4,No OS,2.1,18594,141.21199808219862,0,Core i3,0,1,0,Others
Lenovo,Notebook,15.6,8,No OS,2.2,29250,141.21199808219862,0,Core i5,256,0,0,Others
Others,Ultrabook,13.0,8,Windows 10,1.05,79866,199.69207064108247,0,Core i7,512,0,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.4,49650,165.6321180513006,0,Core i7,256,0,1,Windows
Lenovo,Notebook,17.3,8,No OS,2.8,31381,106.11306214269258,0,Core i5,0,1,0,Others
HP,Notebook,14.0,8,Windows 10,1.63,54931,157.3505121487356,0,Core i7,256,0,0,Windows
Dell,Ultrabook,14.0,8,Windows 10,1.6,61218,157.3505121487356,0,Core i5,256,0,0,Windows
Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,68145,165.6321180513006,1,Core i7,512,0,0,Windows
Dell,Notebook,15.6,8,Linux,2.2,36089,141.21199808219862,0,Core i5,256,0,1,Linux-Based
Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,47898,157.3505121487356,0,Core i5,256,0,0,Windows
Toshiba,Ultrabook,13.3,8,Windows 10,1.2,72620,165.6321180513006,0,Core i7,256,0,0,Windows
HP,Notebook,15.6,8,Windows 10,2.1,42304,141.21199808219862,0,Core i5,0,1,0,Windows
Dell,Gaming,17.3,16,Windows 10,4.42,130873,127.33567457123111,0,Core i7,256,1,0,Windows
Acer,Notebook,15.6,8,Windows 10,2.2,44328,141.21199808219862,0,Core i7,256,0,0,Windows
Dell,Notebook,15.6,16,Windows 10,2.3,45768,141.21199808219862,1,Core i7,0,1,1,Windows
Asus,Notebook,15.6,8,Windows 10,2.0,40972,141.21199808219862,0,Core i5,256,0,0,Windows
Asus,Notebook,17.3,8,Windows 10,2.69,47472,127.33567457123111,0,Core i5,256,1,0,Windows
HP,Notebook,15.6,8,Windows 10,1.9,67612,141.21199808219862,0,Core i7,0,1,0,Windows
Asus,Notebook,15.6,4,Windows 10,2.37,21258,100.45466986113651,0,Core i3,0,1,0,Windows
HP,Notebook,15.6,4,Windows 10,2.1,17582,100.45466986113651,0,Other,0,1,1,Windows
Lenovo,Gaming,15.6,16,Windows 10,3.2,79866,141.21199808219862,0,Core i7,256,1,0,Windows
Dell,Notebook,14.0,8,Windows 10,1.6,45767,157.3505121487356,0,Core i5,256,0,0,Windows
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,36709,165.6321180513006,1,Core i5,256,0,0,Windows
Dell,Notebook,15.6,16,Linux,2.36,47898,141.21199808219862,0,Core i7,256,0,1,Linux-Based
Acer,Notebook,15.6,4,Linux,2.1,20779,100.45466986113651,0,Core i3,0,1,0,Linux-Based
Asus,Notebook,15.6,4,Windows 10,2.2,30636,141.21199808219862,0,Other,128,1,1,Windows
Asus,Gaming,17.3,32,Windows 10,4.7,207259,127.33567457123111,0,Core i7,512,1,0,Windows
Acer,Gaming,15.6,8,Windows 10,2.5,45074,141.21199808219862,0,Core i5,256,0,0,Windows
Lenovo,Notebook,15.6,8,Windows 10,2.2,31381,100.45466986113651,0,Core i3,128,0,0,Windows
Asus,Notebook,17.3,8,Windows 10,2.1,61005,127.33567457123111,0,Core i7,128,1,0,Windows
Asus,Notebook,17.3,8,No OS,2.69,47365,127.33567457123111,0,Core i7,128,1,0,Others
Dell,Gaming,15.6,8,Windows 10,2.56,46833,141.21199808219862,0,Core i5,256,0,0,Windows
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,57489,158.48253022174808,1,Core i7,256,0,0,Windows
Dell,Notebook,15.6,8,Windows 10,2.2,52480,141.21199808219862,0,Core i7,128,1,1,Windows
HP,Notebook,15.6,8,Windows 10,2.04,29783,100.45466986113651,1,Core i5,0,1,0,Windows
Asus,Gaming,17.3,16,Windows 10,3.6,159786,127.33567457123111,0,Core i7,256,0,0,Windows
HP,Notebook,13.3,4,Windows 10,1.49,35964,165.6321180513006,0,Core i5,0,1,0,Windows
Apple,Ultrabook,13.3,8,macOS,1.37,108691,226.98300468106115,0,Core i5,512,0,0,Others
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,43636,141.21199808219862,1,Core i7,0,1,0,Windows
Asus,Gaming,17.3,16,Windows 10,4.3,95850,127.33567457123111,0,Core i7,256,1,0,Windows
Asus,Notebook,15.6,4,Windows 10,1.68,24988,100.45466986113651,0,Other,0,1,1,Windows
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,98514,158.48253022174808,1,Core i7,512,0,0,Windows
Acer,Notebook,17.3,4,Windows 10,3.0,37402,127.33567457123111,0,Core i3,256,0,0,Windows
Dell,Ultrabook,13.3,8,Windows 10,1.41,50562,165.6321180513006,0,Core i5,256,0,0,Windows
HP,Notebook,15.6,8,Windows 10,1.91,23757,100.45466986113651,0,Other,128,0,1,Windows
HP,Notebook,17.3,16,Windows 10,2.9,56423,127.33567457123111,0,Core i7,0,1,0,Windows
MSI,Gaming,17.3,16,Windows 10,4.14,133146,127.33567457123111,0,Core i7,512,1,0,Windows
